424	65945	0
424	65945	0
424	45989	0
424	45989	0
424	36693	0
36693	424	0
424	36693	0
46432	45989	0
46432	45989	0
46432	424	0
424	29176	0
424	424	0
424	29176	0
740	36805	0
740	71001	0
424	36693	0
70108	55579	0
46432	5554	0
4883	1671	0
45737	65238	0
45737	35593	0
69724	22843	0
37502	37502	0
37502	37502	0
36805	37502	0
14540	68443	0
14540	68443	0
46432	26839	0
37502	50918	0
37502	37502	0
37502	37502	0
50110	45737	0
424	36693	0
46432	5554	0
46432	45989	0
46432	69564	0
46432	1994	0
46432	62391	0
46432	26839	0
36693	424	0
424	29176	0
424	36693	0
424	36693	0
1671	4883	0
29176	36693	0
29176	424	0
4883	4883	0
4883	9852	0
4883	9852	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
26839	5554	0
26839	46432	0
26839	45989	0
36693	424	0
36693	424	0
424	36693	0
424	5554	0
424	5554	0
14540	29346	0
4883	9852	0
5554	36693	0
5554	424	0
5554	45989	0
5554	1994	0
5554	424	0
5554	45989	0
5554	1994	0
50110	62391	0
9852	4883	0
9852	1671	0
74175	1994	0
74175	45737	0
74175	1994	0
74175	45737	0
69724	50110	0
29176	424	0
70108	55579	0
37502	3611	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
36805	69564	0
3400	46902	0
31731	55244	0
4883	9852	0
4883	9852	0
29176	424	0
29176	424	0
49954	65538	0
49954	56058	0
4883	1671	0
4883	58319	0
4883	1671	0
65945	65945	0
45737	62391	0
29176	424	0
29176	424	0
29176	424	0
29176	424	0
29176	424	0
29176	424	0
29176	424	0
29176	424	0
49954	49954	0
37502	1994	0
49954	49954	0
31731	50918	0
31731	64809	0
31731	74175	0
31731	3611	0
31731	50918	0
31731	64809	0
31731	74175	0
31731	3611	0
5554	45989	0
5554	9340	0
49954	49954	0
37502	37502	0
37502	37502	0
37502	37502	0
37502	37502	0
49954	65538	0
