424	1	65945	1	0
424	1	65945	1	0
424	1	45989	5	0
424	1	45989	5	0
424	1	36693	6	0
36693	6	424	1	0
424	1	36693	6	0
46432	1	45989	5	0
46432	1	45989	5	0
46432	1	424	1	0
424	1	29176	2	0
424	1	424	1	0
424	1	29176	2	0
740	2	36805	2	0
740	2	71001	1	0
424	1	36693	6	0
70108	8	55579	1	0
46432	1	5554	2	0
4883	1	1671	1	0
45737	1	65238	1	0
45737	1	35593	2	0
69724	7	22843	9	0
37502	7	37502	7	0
37502	7	37502	7	0
36805	2	37502	7	0
14540	2	68443	2	0
14540	2	68443	2	0
46432	1	26839	2	0
37502	7	50918	7	0
37502	7	37502	7	0
37502	7	37502	7	0
50110	2	45737	1	0
424	1	36693	6	0
46432	1	5554	2	0
46432	1	45989	5	0
46432	1	69564	2	0
46432	1	1994	6	0
46432	1	62391	4	0
46432	1	26839	2	0
36693	6	424	1	0
424	1	29176	2	0
424	1	36693	6	0
424	1	36693	6	0
1671	1	4883	1	0
29176	2	36693	6	0
29176	2	424	1	0
4883	1	4883	1	0
4883	1	9852	2	0
4883	1	9852	2	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
26839	2	5554	2	0
26839	2	46432	1	0
26839	2	45989	5	0
36693	6	424	1	0
36693	6	424	1	0
424	1	36693	6	0
424	1	5554	2	0
424	1	5554	2	0
14540	2	29346	9	0
4883	1	9852	2	0
5554	2	36693	6	0
5554	2	424	1	0
5554	2	45989	5	0
5554	2	1994	6	0
5554	2	424	1	0
5554	2	45989	5	0
5554	2	1994	6	0
50110	2	62391	4	0
9852	2	4883	1	0
9852	2	1671	1	0
74175	6	1994	6	0
74175	6	45737	1	0
74175	6	1994	6	0
74175	6	45737	1	0
69724	7	50110	2	0
29176	2	424	1	0
70108	8	55579	1	0
37502	7	3611	4	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
36805	2	69564	2	0
3400	1	46902	9	0
31731	7	55244	8	0
4883	1	9852	2	0
4883	1	9852	2	0
29176	2	424	1	0
29176	2	424	1	0
49954	1	65538	1	0
49954	1	56058	1	0
4883	1	1671	1	0
4883	1	58319	8	0
4883	1	1671	1	0
65945	1	65945	1	0
45737	1	62391	4	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
49954	1	49954	1	0
37502	7	1994	6	0
49954	1	49954	1	0
31731	7	50918	7	0
31731	7	64809	4	0
31731	7	74175	6	0
31731	7	3611	4	0
31731	7	50918	7	0
31731	7	64809	4	0
31731	7	74175	6	0
31731	7	3611	4	0
5554	2	45989	5	0
5554	2	9340	10	0
49954	1	49954	1	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
49954	1	65538	1	0
49954	1	56058	1	0
69724	7	56668	2	0
74175	6	50918	7	0
74175	6	45737	1	0
74175	6	45737	1	0
49954	1	56058	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
49954	1	56058	1	0
31731	7	37502	7	0
69724	7	22843	9	0
49954	1	56058	1	0
60328	1	62391	4	0
55579	1	69724	7	0
60328	1	62391	4	0
62391	4	60328	1	0
68173	1	68173	1	0
68173	1	68173	1	0
69724	7	55579	1	0
55579	1	17712	7	0
36805	2	26839	2	0
36805	2	62391	4	0
36805	2	69564	2	0
36805	2	740	2	0
36805	2	71001	1	0
36805	2	69564	2	0
36805	2	740	2	0
36805	2	71001	1	0
36805	2	26839	2	0
36805	2	62391	4	0
36805	2	69564	2	0
36805	2	740	2	0
36805	2	71001	1	0
36805	2	69564	2	0
36805	2	740	2	0
36805	2	71001	1	0
65945	1	65945	1	0
62391	4	74175	6	0
49954	1	56058	1	0
49954	1	65538	1	0
49954	1	56058	1	0
37502	7	45737	1	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	45737	1	0
37502	7	37502	7	0
37502	7	37502	7	0
14540	2	40985	2	0
49954	1	65538	1	0
49954	1	56058	1	0
14540	2	64150	2	0
14540	2	64150	2	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
62391	4	74175	6	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
31731	7	55244	8	0
55579	1	17712	7	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
29176	2	424	1	0
37502	7	37502	7	0
37502	7	37502	7	0
49954	1	56058	1	0
49954	1	65538	1	0
4883	1	4883	1	0
62391	4	74175	6	0
62391	4	74175	6	0
69724	7	55579	1	0
69724	7	37320	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
49954	1	65538	1	0
49954	1	56058	1	0
60328	1	62391	4	0
50110	2	56668	2	0
5554	2	9340	10	0
62391	4	26839	2	0
4883	1	5121	5	0
55579	1	22843	9	0
55579	1	17712	7	0
60328	1	62391	4	0
31731	7	28824	2	0
60328	1	62391	4	0
60328	1	62391	4	0
70108	8	55579	1	0
49954	1	49954	1	0
68173	1	68173	1	0
68173	1	68173	1	0
69564	2	36805	2	0
69564	2	740	2	0
69564	2	36805	2	0
69564	2	740	2	0
424	1	36693	6	0
69724	7	50110	2	0
69724	7	56668	2	0
9852	2	50110	2	0
9852	2	56668	2	0
4883	1	1671	1	0
4883	1	1671	1	0
61512	1	56668	2	0
61512	1	56668	2	0
55579	1	70108	8	0
424	1	36693	6	0
55579	1	70108	8	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
60328	1	62391	4	0
55579	1	17712	7	0
62391	4	74175	6	0
47350	7	53382	9	0
31731	7	28824	2	0
56668	2	69724	7	0
50918	7	45737	1	0
50918	7	45737	1	0
69724	7	56668	2	0
49954	1	65538	1	0
49954	1	56058	1	0
48480	9	29346	9	0
48480	9	29346	9	0
4883	1	1671	1	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
55579	1	47229	1	0
70108	8	55579	1	0
49954	1	56058	1	0
60328	1	38647	6	0
69724	7	17712	7	0
45989	5	69564	2	0
62391	4	45989	5	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
31731	7	28824	2	0
37502	7	37502	7	0
37502	7	37502	7	0
31731	7	36693	6	0
31731	7	28824	2	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
37502	7	37502	7	0
70108	8	55579	1	0
70108	8	55579	1	0
